DE;EN;DA;ES;CS;SV;
Artikel-Nr. neu;Part no new;-;-;Nové císlo dílu;Varunummer nytt;
Artikel-Nr. Plan;Part no plan;-;-;-;Varunummer plan;
Artikel-Nr. Start;Part no start;-;-;-;Varunummer start;
Artikel-Nr. wählen;Select part no;-;-;-;-;
Artikel-Stammdatenliste;Part no master file list;Emnestamdataliste;-;-;Varu-stamdatalista;
Artikel/Karton;Parts/carton;-;-;Výrobek/Karton;Vara/kartong;
Artikelbezeichnung;Part description;-;-;Popis výrobku;Varubeteckning;
Artikelbuchen mit Barcode;Book part with barcode;-;-;-;Boka vara med streckkod;
Artikellager bearbeiten;Edit part storage;Lagerbearbejdning;-;-;Redigera varulager;
Artikelnotiz;Part note;-;-;-;-;
ArtikelNr;Part no;-;-;-;Varunummer;
Artikelnr;Part no;-;-;-;Varunr.;
Artikelnummer;Part no;-;-;Císlo výrobku;Varunummer;
Artikelnummer intern;Internal part no;Internt emnenummer;-;Interní císlo výrobkui;Internt varunummer;
Artikelstamm eingeben;Enter part no master file;Opret emnestamdata;-;-;Mata in varustam;
Artikelstammdaten aktualisieren;Update part no master file;-;-;-;Aktualisera varustamdata;
AS (Soll;AS (set;-;-;AS (má být;AS (bör;
ASCII -> Datenbank;ASCII -> Database;-;-;ACSII - císelník;ASCII -> databas;
ASCII-Datei;ASCII-File;-;-;ASCII - Soubor;ASCII-fil;
ASCII-Datei (*.dat)|*.dat|Text-Datei (*.txt)|*.txt|All Datei|;ASCII-file (*.dat)|*.dat|Text-File (*.txt)|*.txt|All Files;-;-;ASCII - Soubor (*.dat)|*.dat|Text-Datei (*.txt)|*.txt|All Datei|;ASCII-fil (*.dat)|*.dat|text-fil (*.txt)|*.txt|alla filer|;
ASCII-Import;ASCII-Import;-;-;ASCII - Import;ASCII-import;
auf;On;-;-;-;på;
Auf der Maschine laeuft kein Auftrag;-;Ingen ordre kører på maskinen;-;-;-;
Auf der Maschine läuft ein Auftrag;Job is running on machine;En ordre løber på maskinen;-;Na stroji se vyrábí zakázka;Ett uppdrag körs på maskinen;
auf Maschine;at machine;på maskin;-;-;på maskin;
Auf Maschine;On machine;På maskinen;-;Na stroji;På maskinen;
Aufbohren, Entgraten, Einsortieren, usw;Drill out, deburr, sort, etc.;Udbore, afgrate, sortere, osv.;-;Vyvrtat, ojehlit, vytrídit, atd.;Borra upp, avgrada, sortera in, osv;
aufgebaut;Assembled;Afmonteret;-;-;monterat;
Auflösung;Cancelation;-;-;Zrušení;Upplösning;
aufräumen, Datenfeld;clean up, data field;-;-;-;rensa, datafält;
Auftag löschen;Delet W/O;-;-;-;-;
Auftag stornieren  (löschen;Delete job;Slet ordre;-;Zakázku stornovat (zrušit;Stornera uppdrag (radera;
Auftrag;Job;Ordre  ;Tarea;Zakázka;Uppdrag;
Auftrag / Daten;Job / data;-;-;Zakázka/Data;Uppdrag / data;
Auftrag / Detail Stillstand;W/C Downtime Detail;-;-;-;Uppdrag / detalj stilleståndstid;
Auftrag / Effektivität;W/C Efficency Detail;-;-;Zakázka/Efektivnost;Upprag / effektivitet;
Auftrag / Summe Stillstand;W/C Summary;-;-;Zakázka/Suma prostoju;Uppdrag / summa stillestånd;
Auftrag abfragen;Job inquiry;Søg ordre;-;-;Uppdrag förfrågan;
Auftrag abgeschlossen;Job closed;Ordre lukket;Tarea concluida;Zakázku uzavrít;Uppdrag stängt den;
Auftrag abgeschlossen am;Job closed on;-;Tarea concluida el;Zakázka ukoncena dne;Uppdrag stängt den;
Auftrag abschl;Close job;-;-;Zakázka ukoncena;Stäng uppdrag;
Auftrag abschliessen;Close job;-;-;Zakázku ukoncit;Stäng uppdrag;
Auftrag abschließen;Close job;-;-;-;Stäng uppdrag;
Auftrag abschliessen Auftragarchiv;Close job in job archive;-;-;-;Stäng uppdrag uppdragsarkiv;
Auftrag als ~ungeplant~ deklarieren;Declare job as ~unscheduled~;-;-;Zakázku oznacit jako nenaplánovanou;Markera uppdrag som ~oplanerat~;
Auftrag ändern;Change job;-;-;-;Ändra uppdrag;
Auftrag auf;Job on;Ordre på;Tarea sobre;Zakázka na;Uppdrag på;
Auftrag auflösen;Disintegrate job;-;-;-;Upplös uppdrag;
Auftrag aus Archiv;Job from archive;-;-;-;Uppdrag ur arkiv;
Auftrag automatisch starten nach rüsten;Start job automatically after set up;-;-;-;Starta uppdrag automatiskt efter riggning;
Auftrag bearbeiten;Edit job;Bearbejdning af ordre;Tratar tarea;-;Redigera uppdrag;
Auftrag beenden;Finish job;Afslut ordre;Finalizar tarea;-;Avsluta uppdrag;
Auftrag beenden = Auftrag abschliessen;Job finished = job closed;-;-;-;Uppdrag avslutat =  uppdrag stängt;
Auftrag beendet;Job is finished;Ordre afsluttet;Tarea completo;-;Uppdrag avslutat;
Auftrag darf nicht leer sein;Job must not be empty;-;-;-;Uppdrag får ej vara tomt;
Auftrag Detail;Job detail;-;-;Zakázka detail;Uppdrag detalj;
Auftrag Detail drucken;Print job details;Print ordre detaljer;-;Vytisknout detail zakázky;Uppdrag detalj utskrift;
