DE;EN
SOLL_WERT2;STD_VALUE2
SOLL_WERT1;STD_VALUE1
SOLL_GEPLANT;STDSCHEDULED
SOLLZEIT;STDTIME
SOLLWERT_SPC_9;STDVAL_SPC_9
SOLLWERT_SPC_8;STDVAL_SPC_8
SOLLWERT_SPC_7;STDVAL_SPC_7
SOLLWERT_SPC_6;STDVAL_SPC_6
SOLLWERT_SPC_5;STDVAL_SPC_5
SOLLWERT_SPC_4;STDVAL_SPC_4
SOLLWERT_SPC_40;STDVAL_SPC_40
SOLLWERT_SPC_3;STDVAL_SPC_3
SOLLWERT_SPC_39;STDVAL_SPC_39
SOLLWERT_SPC_38;STDVAL_SPC_38
SOLLWERT_SPC_37;STDVAL_SPC_37
SOLLWERT_SPC_36;STDVAL_SPC_36
SOLLWERT_SPC_35;STDVAL_SPC_35
SOLLWERT_SPC_34;STDVAL_SPC_34
SOLLWERT_SPC_33;STDVAL_SPC_33
SOLLWERT_SPC_32;STDVAL_SPC_32
SOLLWERT_SPC_31;STDVAL_SPC_31
SOLLWERT_SPC_30;STDVAL_SPC_30
SOLLWERT_SPC_2;STDVAL_SPC_2
SOLLWERT_SPC_29;STDVAL_SPC_29
SOLLWERT_SPC_28;STDVAL_SPC_28
SOLLWERT_SPC_27;STDVAL_SPC_27
SOLLWERT_SPC_26;STDVAL_SPC_26
SOLLWERT_SPC_25;STDVAL_SPC_25
SOLLWERT_SPC_24;STDVAL_SPC_24
SOLLWERT_SPC_23;STDVAL_SPC_23
SOLLWERT_SPC_22;STDVAL_SPC_22
SOLLWERT_SPC_21;STDVAL_SPC_21
SOLLWERT_SPC_20;STDVAL_SPC_20
SOLLWERT_SPC_1;STDVAL_SPC_1
SOLLWERT_SPC_19;STDVAL_SPC_19
SOLLWERT_SPC_18;STDVAL_SPC_18
SOLLWERT_SPC_17;STDVAL_SPC_17
SOLLWERT_SPC_16;STDVAL_SPC_16
SOLLWERT_SPC_15;STDVAL_SPC_15
SOLLWERT_SPC_14;STDVAL_SPC_14
SOLLWERT_SPC_13;STDVAL_SPC_13
SOLLWERT_SPC_12;STDVAL_SPC_12
SOLLWERT_SPC_11;STDVAL_SPC_11
SOLLWERT_SPC_10;STDVAL_SPC_10
SOLLWERT_SPC_0;STDVAL_SPC_0
SOLLWERT_DIFF;STDVALUE_DIFF
SOLLWERT_ABS;STDVALUE_ABS
SOLLWERTINT;STDVALUEINT
SOLLWERT;SETVALUE
SOLLVORGABEINT;STDDEFAULTINT
SOLLVORGABE;STDDEFAULT
SOLLTEMP2;STDTEMP2
SOLLTEMP1;STDTEMP1
SOLLTAKT_STR;STDCYCLR_STR
SOLLTAKTZEIT;SETCYCLETIME
SOLLTAKTSTR;STDCYCLESTR
SOLLTAKTINT;STDCYCLEINT
SOLLTAKTAENDERUNG;CHANGEOFSTDCYCLE
SOLLTAKT;STDCYCLE
SOLLSTUECK;STDPIECES
SOLLSTANDZEIT_2;STDLIFETIME_2
SOLLSTANDZEITINT;STDLIFETIMEINT
SOLLSTANDZEIT;STDLIFETIME
SOLLSPRITZDRUCK;STDINJECTPRES
SOLLSPEED;STDSPEED
SOLLNACHDRUCK;STDPOSTPRES
SOLLMENGEPLUS;QUANTITYPLUS
SOLLMENGE;STDQUANTITY
SOLLLAUFZEIT;STDRUNTIME
SOLLKARTONS;STDBOXES
SOLLCHANGE;STDCHANGE
SOLLAUSSTOSS;STDOUTPUT
SOLLAUFZEIT;STD_RUNTIME
SOLL;STD
SNACHDRUCK;SPOSTINJ
SIWECHSEL;SHCHANGE
SIGNAL_SCHREIBEN;WRITE_SIGNAL
SIGNAL_MASCHINE;SIGNAL_MACHINE
SIGNALE;SIGNALS
SIGNAL;SIGNAL
SIGNAL2;SIGNAL2
